City,Mode,MonthBeginning,DayType,RouteID,RouteName,AverageDailyRidership,Source
Philadelphia,Trackless Trolley,2021-01-01,All,ALL,ALL,6573,Revenue_Estimate
Philadelphia,Trolley,2021-01-01,All,ALL,ALL,24608,Revenue_Estimate
Philadelphia,Bus,2021-02-01,All,ALL,ALL,184944,APC
Philadelphia,CCT,2021-02-01,All,ALL,ALL,1399,Revenue
Philadelphia,Heavy Rail,2021-02-01,All,ALL,ALL,84876,Revenue
Philadelphia,Regional Rail,2021-02-01,All,ALL,ALL,15466,Revenue
Philadelphia,Trackless Trolley,2021-02-01,All,ALL,ALL,5884,Revenue_Estimate
Philadelphia,Trolley,2021-02-01,All,ALL,ALL,24824,Revenue_Estimate
Philadelphia,Bus,2021-03-01,All,ALL,ALL,208266,APC
Philadelphia,CCT,2021-03-01,All,ALL,ALL,2082,Revenue
Philadelphia,Heavy Rail,2021-03-01,All,ALL,ALL,94351,Revenue
Philadelphia,Regional Rail,2021-03-01,All,ALL,ALL,21225,Revenue
Philadelphia,Trackless Trolley,2021-03-01,All,ALL,ALL,7336,Revenue_Estimate
Philadelphia,Trolley,2021-03-01,All,ALL,ALL,25485,Revenue_Estimate
Philadelphia,Bus,2021-04-01,All,ALL,ALL,209824,APC
Philadelphia,CCT,2021-04-01,All,ALL,ALL,1833,Revenue
Philadelphia,Heavy Rail,2021-04-01,All,ALL,ALL,104843,Revenue
Philadelphia,Regional Rail,2021-04-01,All,ALL,ALL,21312,Revenue
Philadelphia,Trackless Trolley,2021-04-01,All,ALL,ALL,8331,Revenue_Estimate
Philadelphia,Trolley,2021-04-01,All,ALL,ALL,27140,Revenue_Estimate
Philadelphia,Bus,2021-05-01,All,ALL,ALL,216243,APC
Philadelphia,CCT,2021-05-01,All,ALL,ALL,3158,Revenue
Philadelphia,Heavy Rail,2021-05-01,All,ALL,ALL,109747,Revenue
Philadelphia,Regional Rail,2021-05-01,All,ALL,ALL,25380,Revenue
Philadelphia,Trackless Trolley,2021-05-01,All,ALL,ALL,8752,Revenue_Estimate
Philadelphia,Trolley,2021-05-01,All,ALL,ALL,28242,Revenue_Estimate
Philadelphia,Bus,2021-06-01,All,ALL,ALL,222345,APC
Philadelphia,CCT,2021-06-01,All,ALL,ALL,1564,Revenue
Philadelphia,Heavy Rail,2021-06-01,All,ALL,ALL,112267,Revenue
Philadelphia,Regional Rail,2021-06-01,All,ALL,ALL,28832,Revenue
Philadelphia,Trackless Trolley,2021-06-01,All,ALL,ALL,8289,Revenue_Estimate
Philadelphia,Trolley,2021-06-01,All,ALL,ALL,30826,Revenue_Estimate
Philadelphia,Bus,2021-07-01,All,ALL,ALL,232352,APC
Philadelphia,CCT,2021-07-01,All,ALL,ALL,1736,Revenue
Philadelphia,Heavy Rail,2021-07-01,All,ALL,ALL,115614,Revenue
Philadelphia,Regional Rail,2021-07-01,All,ALL,ALL,32582,Revenue
Philadelphia,Trackless Trolley,2021-07-01,All,ALL,ALL,8578,Revenue_Estimate
Philadelphia,Trolley,2021-07-01,All,ALL,ALL,28434,Revenue_Estimate
Philadelphia,Bus,2021-08-01,All,ALL,ALL,238176,APC
Philadelphia,CCT,2021-08-01,All,ALL,ALL,2478,Revenue
Philadelphia,Heavy Rail,2021-08-01,All,ALL,ALL,115936,Revenue
Philadelphia,Regional Rail,2021-08-01,All,ALL,ALL,33513,Revenue
Philadelphia,Trackless Trolley,2021-08-01,All,ALL,ALL,8269,Revenue_Estimate
Philadelphia,Trolley,2021-08-01,All,ALL,ALL,30921,Revenue_Estimate
Philadelphia,Bus,2021-09-01,All,ALL,ALL,291653,APC
Philadelphia,CCT,2021-09-01,All,ALL,ALL,2144,Revenue
Philadelphia,Heavy Rail,2021-09-01,All,ALL,ALL,151160,Revenue
Philadelphia,Regional Rail,2021-09-01,All,ALL,ALL,42560,Revenue
Philadelphia,Trackless Trolley,2021-09-01,All,ALL,ALL,10835,Revenue_Estimate
Philadelphia,Trolley,2021-09-01,All,ALL,ALL,37844,Revenue_Estimate
Philadelphia,Bus,2021-10-01,All,ALL,ALL,302979,APC
Philadelphia,CCT,2021-10-01,All,ALL,ALL,2236,Revenue
Philadelphia,Heavy Rail,2021-10-01,All,ALL,ALL,157350,Revenue
Philadelphia,Regional Rail,2021-10-01,All,ALL,ALL,53831,Revenue
Philadelphia,Trackless Trolley,2021-10-01,All,ALL,ALL,11480,Revenue_Estimate
Philadelphia,Trolley,2021-10-01,All,ALL,ALL,37036,Revenue_Estimate
Philadelphia,Bus,2021-11-01,All,ALL,ALL,293035,APC
Philadelphia,CCT,2021-11-01,All,ALL,ALL,2380,Revenue
Philadelphia,Heavy Rail,2021-11-01,All,ALL,ALL,150727,Revenue
Philadelphia,Regional Rail,2021-11-01,All,ALL,ALL,52291,Revenue
Philadelphia,Trackless Trolley,2021-11-01,All,ALL,ALL,11139,Revenue_Estimate
Philadelphia,Trolley,2021-11-01,All,ALL,ALL,35881,Revenue_Estimate
Philadelphia,Bus,2021-12-01,All,ALL,ALL,272915,APC
Philadelphia,CCT,2021-12-01,All,ALL,ALL,2351,Revenue
Philadelphia,Heavy Rail,2021-12-01,All,ALL,ALL,142023,Revenue
Philadelphia,Regional Rail,2021-12-01,All,ALL,ALL,47061,Revenue
Philadelphia,Trackless Trolley,2021-12-01,All,ALL,ALL,9677,Revenue_Estimate
Philadelphia,Trolley,2021-12-01,All,ALL,ALL,34169,Revenue_Estimate
Philadelphia,Bus,2022-01-01,All,ALL,ALL,243951,APC
Philadelphia,CCT,2022-01-01,All,ALL,ALL,2019,Revenue
Philadelphia,Heavy Rail,2022-01-01,All,ALL,ALL,115382,Revenue
Philadelphia,Regional Rail,2022-01-01,All,ALL,ALL,32407,Revenue
Philadelphia,Trackless Trolley,2022-01-01,All,ALL,ALL,7753,Revenue_Estimate
Philadelphia,Trolley,2022-01-01,All,ALL,ALL,30631,Revenue_Estimate
Philadelphia,Bus,2022-02-01,All,ALL,ALL,292800,APC
Philadelphia,CCT,2022-02-01,All,ALL,ALL,2309,Revenue
Philadelphia,Heavy Rail,2022-02-01,All,ALL,ALL,142654,Revenue
Philadelphia,Regional Rail,2022-02-01,All,ALL,ALL,48846,Revenue
Philadelphia,Trackless Trolley,2022-02-01,All,ALL,ALL,9078,Revenue_Estimate
Philadelphia,Trolley,2022-02-01,All,ALL,ALL,40565,Revenue_Estimate
Philadelphia,Bus,2022-03-01,All,ALL,ALL,303607,APC
Philadelphia,CCT,2022-03-01,All,ALL,ALL,2564,Revenue
Philadelphia,Heavy Rail,2022-03-01,All,ALL,ALL,145909,Revenue
Philadelphia,Regional Rail,2022-03-01,All,ALL,ALL,54994,Revenue
Philadelphia,Trackless Trolley,2022-03-01,All,ALL,ALL,10722,Revenue_Estimate
Philadelphia,Trolley,2022-03-01,All,ALL,ALL,38122,Revenue_Estimate
Philadelphia,Bus,2022-04-01,All,ALL,ALL,297311,APC
Philadelphia,CCT,2022-04-01,All,ALL,ALL,2677,Revenue
Philadelphia,Heavy Rail,2022-04-01,All,ALL,ALL,143797,Revenue
Philadelphia,Regional Rail,2022-04-01,All,ALL,ALL,54044,Revenue
Philadelphia,Trackless Trolley,2022-04-01,All,ALL,ALL,10035,Revenue_Estimate
Philadelphia,Trolley,2022-04-01,All,ALL,ALL,35922,Revenue_Estimate
Philadelphia,Bus,2022-05-01,All,ALL,ALL,313650,APC
Philadelphia,CCT,2022-05-01,All,ALL,ALL,2714,Revenue
Philadelphia,Heavy Rail,2022-05-01,All,ALL,ALL,140826,Revenue
Philadelphia,Regional Rail,2022-05-01,All,ALL,ALL,51962,Revenue
Philadelphia,Trackless Trolley,2022-05-01,All,ALL,ALL,10504,Revenue_Estimate
Philadelphia,Trolley,2022-05-01,All,ALL,ALL,38581,Revenue_Estimate
Philadelphia,Bus,2022-06-01,All,ALL,ALL,262689,APC
Philadelphia,CCT,2022-06-01,All,ALL,ALL,2631,Revenue
Philadelphia,Heavy Rail,2022-06-01,All,ALL,ALL,130480,Revenue
Philadelphia,Regional Rail,2022-06-01,All,ALL,ALL,55791,Revenue
Philadelphia,Trackless Trolley,2022-06-01,All,ALL,ALL,9227,Revenue_Estimate
Philadelphia,Trolley,2022-06-01,All,ALL,ALL,35000,Revenue_Estimate
Philadelphia,Bus,2022-07-01,All,ALL,ALL,272936,APC
Philadelphia,CCT,2022-07-01,All,ALL,ALL,2743,Revenue
Philadelphia,Heavy Rail,2022-07-01,All,ALL,ALL,120182,Revenue
Philadelphia,Regional Rail,2022-07-01,All,ALL,ALL,51583,Revenue
Philadelphia,Trackless Trolley,2022-07-01,All,ALL,ALL,8734,Revenue_Estimate
