City,Mode,Date,RouteID,DayType,Ridership
Chicago,Bus,2001-01-05,33,Weekday,880
Chicago,Bus,2001-01-03,127,Weekday,164
Chicago,Bus,2001-01-03,53,Weekday,19299
Chicago,Bus,2001-01-05,1,Weekday,6154
Chicago,Bus,2001-01-03,94,Weekday,9009
Chicago,Bus,2001-01-01,171,Sunday/Holiday,15
Chicago,Bus,2001-01-05,35,Weekday,5436
Chicago,Bus,2001-01-03,49A,Weekday,338
Chicago,Bus,2001-01-02,91,Weekday,5559
Chicago,Bus,2001-01-02,74,Weekday,11900
Chicago,Bus,2001-01-02,76,Weekday,11034
Chicago,Bus,2001-01-03,X49,Weekday,4485
Chicago,Bus,2001-01-01,54,Sunday/Holiday,4675
Chicago,Bus,2001-01-02,80,Weekday,11825
Chicago,Bus,2001-01-04,62H,Weekday,1143
Chicago,Bus,2001-01-05,39,Weekday,2059
Chicago,Bus,2001-01-04,135,Weekday,2417
Chicago,Bus,2001-01-04,79,Weekday,27047
Chicago,Bus,2001-01-04,119,Weekday,4730
Chicago,Bus,2001-01-01,60,Sunday/Holiday,4803
Chicago,Bus,2001-01-01,68,Sunday/Holiday,221
Chicago,Bus,2001-01-02,94,Weekday,7840
Chicago,Bus,2001-01-02,135,Weekday,2804
Chicago,Bus,2001-01-04,92,Weekday,6539
Chicago,Bus,2001-01-01,18,Sunday/Holiday,375
Chicago,Bus,2001-01-01,82,Sunday/Holiday,5812
Chicago,Bus,2001-01-04,122,Weekday,959
Chicago,Bus,2001-01-01,77,Sunday/Holiday,7087
Chicago,Bus,2001-01-01,36,Sunday/Holiday,7044
Chicago,Bus,2001-01-04,9,Weekday,26970
Chicago,Bus,2001-01-02,126,Weekday,7353
Chicago,Bus,2001-01-01,92,Sunday/Holiday,1694
Chicago,Bus,2001-01-03,90N,Weekday,273
Chicago,Bus,2001-01-05,19,Weekday,255
Chicago,Bus,2001-01-01,85,Sunday/Holiday,4143
Chicago,Bus,2001-01-03,24,Weekday,2311
Chicago,Bus,2001-01-04,44,Weekday,5670
Chicago,Bus,2001-01-05,37,Weekday,2063
Chicago,Bus,2001-01-02,64,Weekday,274
Chicago,Bus,2001-01-03,60,Weekday,12039
Chicago,Bus,2001-01-03,112,Weekday,3137
Chicago,Bus,2001-01-04,3,Weekday,19424
Chicago,Bus,2001-01-02,50,Weekday,6487
Chicago,Bus,2001-01-02,77,Weekday,15628
Chicago,Bus,2001-01-02,1,Weekday,5813
Chicago,Bus,2001-01-04,12,Weekday,9364
Chicago,Bus,2001-01-03,77,Weekday,17033
Chicago,Bus,2001-01-03,135,Weekday,2052
Chicago,Bus,2001-01-04,34,Weekday,6445
Chicago,Bus,2001-01-02,147,Weekday,8150
Chicago,Bus,2001-01-01,152,Sunday/Holiday,1734
Chicago,Bus,2001-01-04,88,Weekday,1849
Chicago,Bus,2001-01-01,73,Sunday/Holiday,923
Chicago,Bus,2001-01-03,18,Weekday,2506
Chicago,Bus,2001-01-02,48,Weekday,641
Chicago,Bus,2001-01-03,156,Weekday,9283
Chicago,Bus,2001-01-04,202,Weekday,403
Chicago,Bus,2001-01-02,53A,Weekday,5778
Chicago,Bus,2001-01-03,80,Weekday,10881
Chicago,Bus,2001-01-03,63,Weekday,19117
Chicago,Bus,2001-01-04,22,Weekday,20265
Chicago,Bus,2001-01-02,43,Weekday,956
Chicago,Bus,2001-01-03,201,Weekday,1158
Chicago,Bus,2001-01-01,95E,Sunday/Holiday,3418
Chicago,Bus,2001-01-01,172,Sunday/Holiday,2
Chicago,Bus,2001-01-01,84,Sunday/Holiday,843
Chicago,Bus,2001-01-02,120,Weekday,691
Chicago,Bus,2001-01-03,36,Weekday,14130
Chicago,Bus,2001-01-02,145,Weekday,6121
Chicago,Bus,2001-01-02,156,Weekday,8273
Chicago,Bus,2001-01-02,123,Weekday,876
Chicago,Bus,2001-01-04,123,Weekday,665
Chicago,Bus,2001-01-01,44,Sunday/Holiday,1463
Chicago,Bus,2001-01-01,87,Sunday/Holiday,4577
Chicago,Bus,2001-01-04,86,Weekday,1204
Chicago,Bus,2001-01-04,67,Weekday,11313
Chicago,Bus,2001-01-03,54,Weekday,10401
Chicago,Bus,2001-01-02,54,Weekday,10046
Chicago,Bus,2001-01-03,204,Weekday,985
Chicago,Bus,2001-01-03,103,Weekday,3120
Chicago,Bus,2001-01-02,53,Weekday,18510
Chicago,Bus,2001-01-04,29,Weekday,14369
Chicago,Bus,2001-01-02,34,Weekday,5089
Chicago,Bus,2001-01-03,33,Weekday,541
Chicago,Bus,2001-01-03,70,Weekday,8918
Chicago,Bus,2001-01-05,11,Weekday,2980
Chicago,Bus,2001-01-02,152,Weekday,8511
Chicago,Bus,2001-01-04,203,Weekday,1289
Chicago,Bus,2001-01-02,65,Weekday,6524
Chicago,Bus,2001-01-03,75,Weekday,6155
Chicago,Bus,2001-01-01,43,Sunday/Holiday,311
Chicago,Bus,2001-01-04,28,Weekday,10676
Chicago,Bus,2001-01-03,145,Weekday,7731
Chicago,Bus,2001-01-02,171,Weekday,257
Chicago,Bus,2001-01-04,108,Weekday,2263
Chicago,Bus,2001-01-02,47,Weekday,6834
Chicago,Bus,2001-01-03,2,Weekday,652
Chicago,Bus,2001-01-03,59,Weekday,3513
Chicago,Bus,2001-01-03,4,Weekday,18853
Chicago,Bus,2001-01-03,12,Weekday,9220
Chicago,Bus,2001-01-03,19,Weekday,177
Chicago,Bus,2001-01-01,65,Sunday/Holiday,1571
Chicago,Bus,2001-01-03,86,Weekday,1138
Chicago,Bus,2001-01-03,202,Weekday,322
Chicago,Bus,2001-01-03,37,Weekday,2445
Chicago,Bus,2001-01-01,63,Sunday/Holiday,8995
Chicago,Bus,2001-01-05,30,Weekday,3052
Chicago,Bus,2001-01-01,3,Sunday/Holiday,7354
Chicago,Bus,2001-01-02,95W,Weekday,4979
Chicago,Bus,2001-01-01,34,Sunday/Holiday,3541
Chicago,Bus,2001-01-04,39,Weekday,2085
Chicago,Bus,2001-01-04,X49,Weekday,4684
Chicago,Bus,2001-01-03,120,Weekday,461
Chicago,Bus,2001-01-03,54B,Weekday,4384
Chicago,Bus,2001-01-04,81,Weekday,14784
Chicago,Bus,2001-01-05,7,Weekday,4535
Chicago,Bus,2001-01-02,12,Weekday,8605
Chicago,Bus,2001-01-02,146,Weekday,9272
Chicago,Bus,2001-01-02,172,Weekday,389
Chicago,Bus,2001-01-04,125,Weekday,3083
Chicago,Bus,2001-01-02,290S,Weekday,5
Chicago,Bus,2001-01-01,62,Sunday/Holiday,4355
Chicago,Bus,2001-01-02,173,Weekday,164
Chicago,Bus,2001-01-03,62H,Weekday,1151
Chicago,Bus,2001-01-04,157,Weekday,3013
Chicago,Bus,2001-01-03,170,Weekday,355
Chicago,Bus,2001-01-03,52A,Weekday,4994
Chicago,Bus,2001-01-04,53A,Weekday,6679
Chicago,Bus,2001-01-01,27,Sunday/Holiday,1903
Chicago,Bus,2001-01-05,14,Weekday,7799
Chicago,Bus,2001-01-04,75,Weekday,6635
Chicago,Bus,2001-01-02,125,Weekday,2935
Chicago,Bus,2001-01-01,22,Sunday/Holiday,7877
Chicago,Bus,2001-01-03,111,Weekday,4563
Chicago,Bus,2001-01-02,136,Weekday,1462
Chicago,Bus,2001-01-04,51,Weekday,4177
Chicago,Bus,2001-01-04,27,Weekday,5011
Chicago,Bus,2001-01-02,37,Weekday,1961
Chicago,Bus,2001-01-02,63W,Weekday,1842
Chicago,Bus,2001-01-04,155,Weekday,6603
Chicago,Bus,2001-01-02,112,Weekday,2613
Chicago,Bus,2001-01-02,155,Weekday,6756
Chicago,Bus,2001-01-02,72,Weekday,12005
Chicago,Bus,2001-01-03,106,Weekday,1305
Chicago,Bus,2001-01-03,123,Weekday,1256
Chicago,Bus,2001-01-04,169,Weekday,515
Chicago,Bus,2001-01-02,92,Weekday,5877
Chicago,Bus,2001-01-01,76,Sunday/Holiday,3071
Chicago,Bus,2001-01-02,28,Weekday,9121
Chicago,Bus,2001-01-01,79,Sunday/Holiday,14683
Chicago,Bus,2001-01-04,73,Weekday,4434
Chicago,Bus,2001-01-04,64,Weekday,530
Chicago,Bus,2001-01-04,69,Weekday,209
Chicago,Bus,2001-01-02,6,Weekday,15904
Chicago,Bus,2001-01-04,4,Weekday,21081
Chicago,Bus,2001-01-01,66,Sunday/Holiday,7900
Chicago,Bus,2001-01-03,28,Weekday,9845
Chicago,Bus,2001-01-01,71,Sunday/Holiday,2522
Chicago,Bus,2001-01-04,97,Weekday,3682
Chicago,Bus,2001-01-04,47,Weekday,8254
Chicago,Bus,2001-01-04,121,Weekday,1095
Chicago,Bus,2001-01-02,49B,Weekday,4297
Chicago,Bus,2001-01-02,129,Weekday,848
Chicago,Bus,2001-01-03,81,Weekday,12450
Chicago,Bus,2001-01-04,85,Weekday,11753
Chicago,Bus,2001-01-05,8,Weekday,17872
Chicago,Bus,2001-01-04,127,Weekday,161
Chicago,Bus,2001-01-02,96,Weekday,1233
Chicago,Bus,2001-01-02,27,Weekday,3803
Chicago,Bus,2001-01-03,95W,Weekday,3794
Chicago,Bus,2001-01-02,8A,Weekday,2421
Chicago,Bus,2001-01-01,173,Sunday/Holiday,69
Chicago,Bus,2001-01-02,203,Weekday,1047
