vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,snapshot_ts,City
7962,20260203 04:33,41.68415832519531,-87.71727752685547,233,28357,53A,Pulaski Orange Line,41,False,1090399,273999830,53A-703,,1,,16380,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1223,20260203 04:33,41.7578980582101,-87.72209930419922,359,28357,53A,Pulaski Orange Line,27698,False,1090398,273999829,53A-704,,1,,15240,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8506,20260203 04:33,41.80004481780223,-87.72471227401343,65,28357,53A,Pulaski Orange Line,43998,False,1090397,273999828,53A-702,,1,,14040,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1104,20260203 04:33,41.96000440497147,-87.74798824912624,329,4586,54,Montrose,23916,False,1067020,273982633,54 -805,,1,,14760,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8820,20260203 04:33,41.88618632725307,-87.7453384399414,358,4588,54,Montrose,14601,False,1066896,273982609,54 -804,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8568,20260203 04:33,41.9584358215332,-87.74738464355468,358,4588,54,Montrose,40980,False,1066897,273982608,54 -802,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8615,20260203 04:33,41.9153444444811,-87.74609828639674,179,4590,54,24th Pl,16620,False,1066792,273982636,54 -803,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8690,20260203 04:33,41.85689960826527,-87.74445343017578,178,4590,54,24th Pl,38003,False,1066791,273982635,54 -801,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8665,20260203 04:33,41.847110748291016,-87.74413299560547,178,1286,54B,Ford City,6097,False,1067371,273992216,54B-801,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8124,20260203 04:33,41.79365472626268,-87.69568567108689,88,1300,55,Museum of Science & Industry,4580,False,4,273985227,55 -602,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1529,20260203 04:33,41.79516525268555,-87.58772277832031,90,1300,55,Museum of Science & Industry,34495,False,3,273985226,55 -601,,1,,14820,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1571,20260203 04:33,41.793548583984375,-87.70173971993583,268,5425,55,Midway Orange Line,34903,False,204213,273985233,55 -603,,1,,15000,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8743,20260203 04:33,41.93893076578776,-87.7236343383789,129,1971,56,Washington/Michigan,15654,False,10004858,273997859,56 -401,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8910,20260203 04:33,41.84786845362464,-87.67751773568087,242,1341,60,Cicero/24th Pl,26017,False,66,273996567,60 -202,,1,,15000,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1301,20260203 04:33,41.84450912475586,-87.70569194446911,89,1344,60,Washington/State,12597,False,3,273996538,60 -201,,1,,15570,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8883,20260203 04:34,41.88300364068214,-87.6427001953125,63,1344,60,Washington/State,40808,False,2,273996729,60 -204,,1,,14370,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1172,20260203 04:34,41.84403991699219,-87.742431640625,82,1345,60,Randolph/Harbor Dr,2610,False,88362537,273996539,60 -205,,1,,16380,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1383,20260203 04:34,41.88679885864258,-87.62981414794922,87,890,62,Harlem,1128,False,1,273996897,62 -604,,1,,16320,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8080,20260203 04:33,41.80021667480469,-87.72510528564453,65,7111,62,Kinzie/State,21255,False,2,273996805,62 -601,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1525,20260203 04:34,41.84218517569609,-87.6568005584007,57,7111,62,Kinzie/State,47487,False,1,273996804,62 -605,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8216,20260203 04:33,41.83068325645045,-87.67734233120032,230,9365,62,Harlem,31722,False,106055,273996896,62 -602,,1,,14520,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1490,20260203 04:33,41.792107802170975,-87.79642760447966,268,9365,62,Harlem,70659,False,22224752,273996895,62 -603,,1,,12720,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
610,20260203 04:33,41.779201698303225,-87.68348217010498,279,5057,63,Midway Orange Line,5648,False,88421697,274045849,63 -608,,1,,16170,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1440,20260203 04:34,41.77875900268555,-87.71528434753418,270,5057,63,Midway Orange Line,14308,False,88421696,274045848,63 -607,,1,,15630,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8044,20260203 04:34,41.78013716072872,-87.58898531157395,3,10917,63,Midway Orange Line,1580,False,202,273998446,63 -606,,1,,16350,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1485,20260203 04:33,41.77875485627548,-87.66297149658203,255,10917,63,Midway Orange Line,22195,False,200,273998445,63 -603,,1,,15240,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8053,20260203 04:34,41.78654479980469,-87.73880767822266,295,10930,63,Stony Island,0,False,88383393,273998216,63 -601,,1,,16800,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8024,20260203 04:33,41.77890678688332,-87.70333099365234,90,10930,63,Stony Island,14177,False,192442,273998424,63 -602,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8090,20260203 04:33,41.78002310858832,-87.58644104003906,180,10930,63,Stony Island,46240,False,192441,273998423,63 -604,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1464,20260203 04:33,41.77749633789063,-87.79532623291016,268,4595,63W,63rd/Archer,17919,False,121928,274000065,63 -605,,1,,15690,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1458,20260203 04:34,41.77831606183733,-87.74837472098214,87,4597,63W,Midway Orange Line,18137,False,22224768,274000004,63W-601,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1975,20260203 04:33,41.89512634277344,-87.77464294433594,112,4601,66,Austin,10525,False,88424081,274070342,66 -807,,1,,16080,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8306,20260203 04:33,41.89633941650391,-87.65602111816406,272,6658,66,Austin,20215,False,184,273989273,66 -802,,1,,15000,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8652,20260203 04:34,41.89509613449509,-87.77445138467324,93,6658,66,Austin,52667,False,183,273989272,66 -803,,1,,13200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8302,20260203 04:33,41.88241225022536,-87.62782287597656,10,6661,66,Washington/State,52907,False,2,273989085,66 -804,,1,,13200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8873,20260203 04:33,41.89550882456254,-87.7116800425004,89,6662,66,Navy Pier,17177,False,4,273988920,66 -801,,1,,15510,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
